test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	1	1	1	7770.40	4.22	0.00%
te_fp8_delayedscaling	1	1	1	1	8436.12	4.22	8.57%
te_mxfp8	1	1	1	1	8022.33	2.16	3.24%
maxtext_fp8	1	4	1	1	7885.68	1.24	0.00%
te_fp8_delayedscaling	1	4	1	1	6852.32	1.30	-13.10%
te_mxfp8	1	4	1	1	6532.44	0.97	-17.16%
maxtext_fp8	4	1	1	1	6739.96	0.79	0.00%
te_fp8_delayedscaling	4	1	1	1	7395.40	1.40	9.72%
te_mxfp8	4	1	1	1	7357.29	0.75	9.16%
maxtext_fp8	2	2	1	1	7434.63	1.37	0.00%
te_fp8_delayedscaling	2	2	1	1	7458.16	1.84	0.32%
te_mxfp8	2	2	1	1	7131.60	2.07	-4.08%
maxtext_fp8	1	1	4	1	6920.80	2.58	0.00%
te_fp8_delayedscaling	1	1	4	1	8320.03	2.93	20.22%
te_mxfp8	1	1	4	1	7746.80	2.57	11.94%
maxtext_fp8	2	1	2	1	7192.04	1.97	0.00%
te_fp8_delayedscaling	2	1	2	1	8169.54	2.04	13.59%
te_mxfp8	2	1	2	1	7728.47	2.62	7.46%
maxtext_fp8	1	1	1	4	8064.06	1.40	0.00%
te_fp8_delayedscaling	1	1	1	4	8716.44	1.63	8.09%
te_mxfp8	1	1	1	4	8663.19	2.28	7.43%
maxtext_fp8	1	1	2	2	7614.66	2.18	0.00%
te_fp8_delayedscaling	1	1	2	2	8458.02	2.98	11.08%
te_mxfp8	1	1	2	2	8210.74	2.79	7.83%
